city,indicator,year,value,EMPW,GDP,LAB_PROD,country,BANKRUPTCIES,FACTORING,INTEREST_RATE,INTEREST_RATE_SPREAD,LEASING,LOAN,LOAN_GOV_GUARANTEED,LOAN_GOV_GUARANTEES,LOAN_LT,LOAN_ST,NPL,PAYMENT_DELAYS,LOAN_APPLICATIONS,LOAN_COLLATERAL,VC,LOAN_GOV_DIRECT,LOAN_REJECTION
Athens,GERD_regional,NA,494078.582,NA,NA,NA,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,HighGrowth_enterprises_share_regional,NA,10907416.73,NA,NA,NA,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,HighTech_Employment_regional,NA,874988.6,NA,NA,NA,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,HighTech_patents_regional,NA,1624.166,NA,NA,NA,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens,SBS_hightech_regional,NA,28221926963.399998,NA,NA,NA,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barcelona,GERD_regional,NA,3519767.372,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barcelona,HighGrowth_enterprises_share_regional,NA,68081204.47,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barcelona,HighTech_Employment_regional,NA,3513576.4,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barcelona,HighTech_patents_regional,NA,11813.246,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barcelona,SBS_hightech_regional,NA,179468347083.1,NA,NA,NA,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lisbon,GERD_regional,NA,761914.022,NA,NA,NA,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lisbon,HighGrowth_enterprises_share_regional,NA,20792958.85,NA,NA,NA,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lisbon,HighTech_Employment_regional,NA,947772.6,NA,NA,NA,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lisbon,HighTech_patents_regional,NA,1764.204,NA,NA,NA,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lisbon,SBS_hightech_regional,NA,66096939573.4,NA,NA,NA,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallinn,GERD_regional,NA,162541.656,NA,NA,NA,Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallinn,HighGrowth_enterprises_share_regional,NA,2436026.82,NA,NA,NA,Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallinn,HighTech_Employment_regional,NA,236652.4,NA,NA,NA,Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallinn,HighTech_patents_regional,NA,2257.397,NA,NA,NA,Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallinn,SBS_hightech_regional,NA,9572240088.2,NA,NA,NA,Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
